,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Charge,Intl Mins,CustServ Calls,Churn?
766,1,0,0,230.9,132,39.25,243.2,20.67,11.0,0,True.
771,1,1,28,126.9,97,21.57,166.9,14.19,8.8,5,True.
773,1,0,0,176.9,110,30.07,167.9,14.27,7.7,1,True.
787,0,0,0,265.6,86,45.15,208.8,17.75,11.1,2,True.
792,1,1,33,271.5,98,46.16,253.4,21.54,8.2,1,True.
797,1,0,0,148.5,126,25.25,219.4,18.65,14.5,1,True.
815,0,0,0,314.6,102,53.48,169.8,14.43,5.7,2,True.
830,1,0,0,167.7,94,28.51,93.7,7.96,13.4,3,True.
832,0,0,0,322.5,106,54.83,204.6,17.39,9.4,2,True.
846,0,0,0,180.6,92,30.7,190.9,16.23,10.3,1,True.
851,1,0,0,199.6,89,33.93,211.4,17.97,11.0,3,True.
859,0,0,0,267.9,114,45.54,223.0,18.96,11.3,3,True.
871,0,0,0,271.4,119,46.14,190.4,16.18,11.1,4,True.
892,0,1,27,166.9,85,28.37,221.2,18.8,12.3,1,True.
894,0,0,0,120.8,96,20.54,169.8,14.43,11.9,4,True.
901,0,0,0,321.6,107,54.67,251.6,21.39,11.3,2,True.
904,0,0,0,260.0,123,44.2,210.5,17.89,9.0,1,True.
905,0,0,0,191.9,113,32.62,70.9,6.03,13.4,4,True.
911,0,0,0,267.8,145,45.53,316.4,26.89,14.4,5,True.
914,0,0,0,287.3,123,48.84,288.0,24.48,10.5,0,True.
933,1,0,0,125.8,103,21.39,207.7,17.65,14.1,1,True.
944,0,1,28,167.9,147,28.54,190.7,16.21,9.2,4,True.
946,0,0,0,257.4,67,43.76,261.1,22.19,13.4,2,True.
966,0,1,22,152.0,63,25.84,258.8,22.0,15.7,2,True.
968,0,1,33,174.9,103,29.73,248.2,21.1,13.5,1,True.
975,0,0,0,334.3,118,56.83,192.1,16.33,10.4,0,True.
977,0,1,21,134.2,105,22.81,162.5,13.81,11.8,4,True.
978,0,0,0,278.0,102,47.26,266.4,22.64,13.1,4,True.
985,1,0,0,346.8,55,58.96,249.5,21.21,13.3,1,True.
987,1,1,27,267.9,103,45.54,263.3,22.38,8.3,1,True.
1000,0,0,0,277.3,138,47.14,228.4,19.41,12.8,2,True.
1018,0,0,0,263.4,148,44.78,230.3,19.58,11.4,1,True.
1027,1,0,0,194.2,106,33.01,249.4,21.2,12.9,1,True.
1030,0,1,42,216.0,125,36.72,232.3,19.75,9.3,2,True.
1038,0,0,0,111.9,92,19.02,114.0,9.69,14.1,5,True.
1077,0,0,0,154.2,123,26.21,112.3,9.55,15.4,4,True.
1078,0,0,0,322.3,113,54.79,222.0,18.87,6.7,0,True.
1102,0,0,0,176.9,128,30.07,102.8,8.74,10.5,4,True.
1105,0,1,28,201.4,100,34.24,246.5,20.95,12.9,2,True.
1115,0,0,0,165.0,129,28.05,202.6,17.22,12.5,1,True.
1121,0,0,0,154.4,165,26.25,168.3,14.31,11.7,5,True.
1122,0,0,0,189.1,105,32.15,246.1,20.92,10.4,1,True.
1133,0,0,0,148.1,73,25.18,164.9,14.02,12.3,5,True.
1136,1,1,26,270.3,111,45.95,215.2,18.29,14.4,1,True.
1142,0,0,0,106.4,71,18.09,240.1,20.41,5.3,6,True.
1150,0,0,0,193.3,106,32.86,128.3,10.91,11.6,5,True.
1155,0,0,0,131.6,120,22.37,211.3,17.96,11.1,4,True.
1182,0,0,0,287.1,108,48.81,178.4,15.16,14.4,3,True.
1192,1,0,0,235.1,98,39.97,251.8,21.4,7.2,4,True.
1193,1,1,15,160.0,95,27.2,209.5,17.81,8.7,5,True.
1204,1,0,0,236.8,141,40.26,265.3,22.55,9.5,1,True.
1231,0,0,0,270.9,98,46.05,226.2,19.23,8.8,0,True.
1232,0,0,0,243.0,91,41.31,183.9,15.63,15.3,0,True.
1240,0,1,34,162.1,83,27.56,171.8,14.6,9.6,4,True.
1254,0,1,33,186.4,84,31.69,201.0,17.09,11.1,2,True.
1263,0,1,31,224.7,69,38.2,134.5,11.43,7.5,1,True.
1269,0,1,45,130.5,114,22.19,208.4,17.71,11.0,4,True.
1273,0,0,0,121.7,48,20.69,125.8,10.69,8.3,6,True.
1276,0,0,0,229.7,129,39.05,336.0,28.56,9.6,1,True.
1278,0,0,0,247.7,77,42.11,269.5,22.91,9.6,0,True.
1280,0,0,0,112.2,95,19.07,209.6,17.82,13.9,0,True.
1284,0,0,0,263.8,66,44.85,251.3,21.36,8.4,5,True.
1299,0,0,0,266.3,90,45.27,207.8,17.66,14.0,2,True.
1302,0,0,0,270.5,69,45.99,230.0,19.55,9.6,1,True.
1306,0,0,0,189.2,81,32.16,184.4,15.67,10.6,3,True.
1310,0,0,0,78.6,106,13.36,187.3,15.92,7.4,1,True.
1322,1,0,0,132.1,42,22.46,138.9,11.81,9.1,2,True.
1325,0,1,31,153.1,115,26.03,185.9,15.8,10.0,6,True.
1327,0,0,0,96.8,92,16.46,142.6,12.12,10.9,2,True.
1334,0,0,0,321.3,99,54.62,167.9,14.27,8.0,1,True.
1337,1,0,0,236.9,107,40.27,157.6,13.4,7.3,0,True.
1339,1,0,0,148.2,96,25.19,220.4,18.73,9.2,4,True.
1344,0,0,0,284.4,89,48.35,157.0,13.35,8.4,0,True.
1345,0,0,0,0.0,0,0.0,159.6,13.57,6.8,4,True.
1346,1,0,0,133.7,45,22.73,187.8,15.96,10.7,1,True.
1350,0,0,0,285.7,124,48.57,230.9,19.63,14.8,0,True.
1359,0,0,0,217.8,91,37.03,220.6,18.75,10.3,1,True.
1364,0,0,0,245.0,97,41.65,250.7,21.31,13.7,1,True.
1373,0,0,0,112.0,105,19.04,193.7,16.46,4.1,4,True.
1376,0,0,0,245.7,139,41.77,241.9,20.56,4.2,4,True.
1392,0,0,0,269.7,85,45.85,207.6,17.65,4.5,3,True.
1405,0,0,0,143.2,80,24.34,88.1,7.49,8.8,4,True.
1407,0,1,31,82.3,105,13.99,256.1,21.77,11.8,6,True.
1420,1,0,0,149.4,68,25.4,171.9,14.61,17.9,3,True.
1435,1,1,19,112.6,114,19.14,261.7,22.24,11.1,0,True.
1442,0,0,0,195.7,116,33.27,209.1,17.77,8.3,1,True.
1454,0,1,44,174.0,80,29.58,209.4,17.8,14.1,2,True.
1467,1,1,35,181.1,59,30.79,215.9,18.35,16.9,0,True.
1472,1,0,0,273.3,66,46.46,263.6,22.41,12.0,1,True.
1484,1,0,0,133.3,106,22.66,182.9,15.55,12.9,3,True.
1493,0,1,30,153.4,90,26.08,151.4,12.87,12.8,4,True.
1516,0,0,0,213.9,112,36.36,260.5,22.14,8.4,1,True.
1528,0,0,0,223.3,99,37.96,167.1,14.2,4.5,0,True.
1530,0,0,0,261.4,141,44.44,215.7,18.33,8.0,1,True.
1531,1,0,0,46.5,104,7.91,186.0,15.81,9.6,4,True.
1532,0,1,18,149.9,84,25.48,170.9,14.53,11.5,0,True.
1533,1,0,0,242.2,102,41.17,226.1,19.22,13.9,2,True.
1534,0,0,0,259.4,99,44.1,172.7,14.68,10.7,1,True.
1537,1,1,21,156.5,122,26.61,209.2,17.78,11.1,4,True.
1538,0,0,0,61.2,111,10.4,92.3,7.85,13.7,5,True.
1551,0,0,0,165.4,106,28.12,273.7,23.26,8.7,0,True.
1585,0,0,0,236.9,93,40.27,197.7,16.8,11.4,2,True.
1593,1,0,0,273.9,119,46.56,278.6,23.68,10.9,1,True.
1601,1,0,0,242.3,102,41.19,350.9,29.83,11.3,0,True.
1614,0,0,0,236.4,73,40.19,287.3,24.42,13.8,1,True.
1619,0,0,0,119.2,88,20.26,168.3,14.31,12.2,4,True.
1635,0,0,0,154.0,133,26.18,198.9,16.91,9.5,4,True.
1638,0,0,0,159.4,79,27.1,179.5,15.26,9.7,6,True.
1646,0,0,0,291.8,143,49.61,214.3,18.22,9.9,0,True.
1651,1,0,0,225.3,134,38.3,108.2,9.2,17.3,1,True.
1653,1,0,0,131.4,78,22.34,219.7,18.67,11.1,1,True.
1662,1,0,0,127.3,80,21.64,222.3,18.9,13.7,5,True.
1674,1,0,0,241.0,120,40.97,231.8,19.7,9.9,1,True.
1679,0,0,0,329.8,73,56.07,208.3,17.71,10.6,0,True.
1691,0,0,0,269.0,120,45.73,233.7,19.86,7.3,2,True.
1692,0,0,0,268.3,114,45.61,185.5,15.77,6.3,1,True.
1694,0,0,0,115.5,75,19.64,218.1,18.54,11.5,7,True.
1701,0,0,0,293.7,89,49.93,272.5,23.16,11.0,2,True.
1702,0,0,0,120.3,108,20.45,240.4,20.43,7.7,4,True.
1704,0,0,0,278.5,95,47.35,240.7,20.46,11.6,1,True.
1707,0,0,0,131.1,129,22.29,160.5,13.64,5.6,5,True.
1713,0,0,0,129.7,84,22.05,177.5,15.09,7.5,5,True.
1718,1,0,0,268.4,85,45.63,150.6,12.8,9.7,2,True.
1731,0,0,0,232.8,95,39.58,303.4,25.79,12.9,0,True.
1736,0,0,0,286.4,125,48.69,205.7,17.48,6.9,1,True.
1739,0,0,0,268.7,120,45.68,301.0,25.59,5.8,2,True.
1746,0,0,0,179.3,147,30.48,208.9,17.76,13.5,1,True.
1750,0,0,0,113.1,74,19.23,168.8,14.35,6.9,1,True.
1752,1,0,0,161.3,83,27.42,124.4,10.57,14.1,0,True.
1754,1,0,0,190.5,108,32.39,259.7,22.07,9.7,2,True.
1764,0,0,0,245.2,87,41.68,254.1,21.6,7.5,0,True.
1765,0,0,0,132.6,125,22.54,221.1,18.79,12.7,4,True.
1768,1,0,0,122.0,110,20.74,220.2,18.72,10.8,2,True.
1777,0,0,0,242.5,83,41.23,245.4,20.86,10.0,3,True.
1784,1,0,0,153.6,108,26.11,232.9,19.8,14.1,0,True.
1794,0,0,0,286.6,73,48.72,223.2,18.97,11.5,1,True.
1804,1,0,0,187.3,118,31.84,160.7,13.66,9.6,0,True.
1837,1,0,0,54.2,100,9.21,303.2,25.77,8.6,1,True.
1842,0,0,0,276.1,82,46.94,201.1,17.09,8.9,0,True.
1844,0,1,28,135.9,117,23.1,244.5,20.78,11.5,4,True.
1845,1,0,0,189.1,122,32.15,223.2,18.97,13.9,2,True.
1849,0,0,0,287.1,115,48.81,159.3,13.54,13.9,2,True.
1850,0,1,26,179.7,144,30.55,218.1,18.54,9.3,1,True.
1851,0,0,0,165.8,96,28.19,190.0,16.15,10.9,5,True.
1857,0,0,0,222.3,101,37.79,286.0,24.31,12.1,1,True.
1861,1,1,16,147.2,103,25.02,160.1,13.61,7.7,0,True.
1862,1,0,0,254.7,103,43.3,252.2,21.44,8.0,0,True.
1865,0,0,0,149.3,83,25.38,187.1,15.9,7.9,7,True.
1866,0,0,0,81.9,75,13.92,253.8,21.57,8.9,2,True.
1869,0,0,0,239.0,156,40.63,273.0,23.21,13.5,1,True.
1878,0,0,0,295.4,126,50.22,232.1,19.73,11.5,1,True.
1880,0,0,0,162.3,99,27.59,149.1,12.67,14.8,4,True.
1881,0,0,0,272.7,97,46.36,236.4,20.09,7.7,0,True.
1887,1,1,28,156.1,89,26.54,107.1,9.1,14.7,0,True.
1889,0,0,0,153.0,123,26.01,141.1,11.99,10.3,1,True.
1892,1,0,0,225.2,111,38.28,184.9,15.72,9.9,0,True.
1893,0,0,0,249.9,127,42.48,254.5,21.63,8.9,2,True.
1898,0,0,0,275.8,103,46.89,189.5,16.11,7.4,2,True.
1903,1,1,38,225.7,117,38.37,119.6,10.17,14.0,1,True.
1904,0,1,33,167.8,91,28.53,205.3,17.45,14.5,4,True.
1912,0,0,0,150.6,125,25.6,169.1,14.37,10.4,8,True.
1919,0,0,0,70.8,94,12.04,215.6,18.33,9.5,6,True.
1933,0,0,0,260.1,101,44.22,256.5,21.8,10.0,1,True.
1934,0,0,0,281.3,124,47.82,301.5,25.63,8.7,0,True.
1935,1,1,42,130.1,90,22.12,167.0,14.2,13.6,3,True.
1939,0,0,0,128.7,100,21.88,227.1,19.3,9.2,2,True.
1950,0,0,0,155.0,110,26.35,133.4,11.34,7.0,4,True.
1954,0,0,0,238.0,82,40.46,278.5,23.67,11.8,0,True.
1965,0,0,0,236.6,109,40.22,169.9,14.44,11.1,1,True.
1974,0,1,20,157.8,83,26.83,161.5,13.73,8.7,5,True.
1977,1,0,0,237.8,92,40.43,208.9,17.76,15.6,2,True.
1978,1,0,0,204.0,84,34.68,168.5,14.32,13.3,3,True.
1984,0,0,0,272.5,119,46.33,226.1,19.22,16.4,3,True.
2001,0,0,0,286.4,109,48.69,178.2,15.15,10.7,1,True.
2028,0,0,0,328.1,106,55.78,151.7,12.89,8.7,1,True.
2029,1,0,0,145.9,69,24.8,208.2,17.7,14.4,0,True.
2033,0,0,0,217.6,87,36.99,279.0,23.72,10.4,2,True.
2038,0,0,0,269.8,106,45.87,228.8,19.45,10.1,1,True.
2059,0,0,0,269.2,104,45.76,193.8,16.47,8.9,3,True.
2069,0,0,0,261.2,119,44.4,250.8,21.32,9.8,0,True.
2076,1,0,0,228.9,134,38.91,255.7,21.73,10.1,4,True.
2099,0,0,0,290.4,108,49.37,253.9,21.58,10.1,3,True.
2103,0,0,0,298.1,112,50.68,201.3,17.11,9.7,2,True.
2106,1,1,18,222.1,89,37.76,160.6,13.65,13.6,0,True.
2107,0,0,0,236.2,135,40.15,273.9,23.28,10.1,2,True.
2112,0,0,0,136.6,112,23.22,209.4,17.8,12.2,4,True.
2113,0,0,0,289.8,101,49.27,255.6,21.73,11.7,2,True.
2115,1,0,0,196.2,129,33.35,176.5,15.0,15.2,0,True.
2118,1,0,0,172.9,119,29.39,183.0,15.56,9.8,0,True.
2119,0,0,0,249.8,109,42.47,242.4,20.6,11.6,0,True.
2139,1,0,0,252.3,120,42.89,207.0,17.6,12.0,3,True.
2142,0,0,0,96.5,86,16.41,210.2,17.87,12.5,1,True.
2147,0,0,0,249.8,96,42.47,261.9,22.26,12.7,3,True.
2150,0,0,0,226.0,127,38.42,304.6,25.89,12.6,2,True.
2155,0,0,0,270.0,102,45.9,256.6,21.81,12.0,2,True.
2158,1,0,0,47.7,89,8.11,264.4,22.47,13.2,0,True.
2160,1,0,0,89.5,94,15.22,339.9,28.89,7.9,1,True.
2164,1,0,0,251.3,69,42.72,252.5,21.46,9.9,3,True.
2173,1,0,0,47.8,120,8.13,178.9,15.21,13.3,0,True.
2186,0,0,0,232.1,74,39.46,327.1,27.8,10.9,3,True.
2187,0,0,0,169.2,124,28.76,173.3,14.73,12.4,4,True.
2203,1,0,0,145.0,103,24.65,294.3,25.02,11.0,4,True.
2210,0,0,0,278.9,110,47.41,190.2,16.17,11.7,0,True.
2213,0,0,0,217.2,121,36.92,303.4,25.79,12.4,0,True.
2215,0,0,0,303.2,133,51.54,170.5,14.49,11.5,0,True.
2218,0,0,0,133.3,94,22.66,247.8,21.06,11.3,5,True.
2237,0,0,0,166.7,61,28.34,179.3,15.24,6.8,4,True.
2238,0,0,0,267.1,104,45.41,180.4,15.33,17.3,1,True.
2258,1,0,0,276.5,122,47.01,195.6,16.63,7.2,1,True.
2267,0,0,0,313.2,103,53.24,216.3,18.39,12.8,2,True.
2283,0,0,0,227.1,116,38.61,120.5,10.24,4.7,5,True.
2290,0,0,0,245.3,108,41.7,259.9,22.09,10.7,3,True.
2324,0,0,0,143.3,120,24.36,230.7,19.61,7.8,4,True.
2325,0,0,0,271.1,108,46.09,237.0,20.15,9.8,2,True.
2327,0,0,0,167.1,77,28.41,131.8,11.2,9.4,6,True.
2335,1,0,0,157.8,71,26.83,203.2,17.27,10.0,3,True.
2343,1,0,0,179.9,72,30.58,170.0,14.45,13.8,1,True.
2347,1,1,29,195.5,113,33.24,171.6,14.59,13.5,1,True.
2354,0,0,0,273.2,85,46.44,211.1,17.94,13.1,2,True.
2356,0,0,0,273.8,97,46.55,289.7,24.62,5.8,2,True.
2357,0,0,0,159.5,103,27.12,275.5,23.42,10.1,1,True.
2369,0,0,0,174.3,123,29.63,140.2,11.92,9.0,4,True.
2376,0,0,0,303.9,106,51.66,232.2,19.74,5.8,1,True.
2377,0,1,36,123.7,125,21.03,172.6,14.67,8.8,1,True.
2380,0,0,0,228.6,117,38.86,132.8,11.29,10.1,9,True.
2386,1,0,0,202.0,123,34.34,184.3,15.67,7.4,2,True.
2387,0,1,32,209.5,108,35.62,109.6,9.32,9.1,6,True.
2388,0,0,0,297.9,141,50.64,238.1,20.24,8.9,1,True.
2389,0,0,0,212.8,102,36.18,189.8,16.13,10.6,0,True.
2397,0,0,0,294.9,71,50.13,192.8,16.39,13.2,1,True.
2401,1,0,0,239.7,87,40.75,281.7,23.94,11.4,1,True.
2402,0,1,33,143.0,101,24.31,212.2,18.04,15.3,5,True.
2405,0,1,29,201.3,130,34.22,203.7,17.31,6.4,1,True.
2407,1,1,31,203.5,82,34.6,200.3,17.03,13.4,1,True.
2412,0,0,0,326.3,112,55.47,165.1,14.03,7.5,1,True.
2415,0,0,0,147.1,119,25.01,161.0,13.69,9.0,5,True.
2419,0,0,0,239.9,120,40.78,261.6,22.24,8.9,2,True.
2420,1,0,0,159.9,94,27.18,179.9,15.29,11.6,2,True.
2421,0,0,0,197.8,66,33.63,133.9,11.38,10.9,4,True.
2428,0,0,0,81.7,123,13.89,210.2,17.87,11.3,6,True.
2432,0,0,0,109.0,88,18.53,259.3,22.04,13.3,4,True.
2437,0,1,31,109.6,108,18.63,249.3,21.19,8.3,4,True.
2451,0,0,0,279.5,118,47.52,203.2,17.27,10.7,2,True.
2468,1,1,41,146.8,128,24.96,285.6,24.28,4.3,1,True.
2472,0,0,0,137.8,120,23.43,225.8,19.19,10.2,1,True.
2479,1,1,29,162.3,91,27.59,279.3,23.74,11.7,3,True.
2489,0,0,0,167.8,72,28.53,211.0,17.94,10.5,4,True.
2493,0,0,0,92.6,95,15.74,161.9,13.76,11.3,5,True.
2515,0,0,0,123.1,88,20.93,213.9,18.18,12.0,5,True.
2526,1,0,0,115.0,65,19.55,122.3,10.4,6.4,0,True.
2533,0,0,0,184.7,60,31.4,262.0,22.27,12.3,2,True.
2535,0,0,0,113.0,108,19.21,169.2,14.38,9.2,2,True.
2536,0,0,0,294.2,100,50.01,232.5,19.76,9.0,0,True.
2539,1,1,28,211.2,117,35.9,312.5,26.56,10.7,3,True.
2542,0,0,0,259.4,116,44.1,269.7,22.92,9.5,1,True.
2567,0,0,0,247.2,116,42.02,303.7,25.81,9.3,2,True.
2572,0,0,0,317.8,60,54.03,152.9,13.0,10.4,1,True.
2573,0,0,0,312.0,112,53.04,180.0,15.3,12.8,1,True.
2575,0,0,0,131.6,95,22.37,179.3,15.24,15.5,1,True.
2581,0,0,0,123.2,104,20.94,190.0,16.15,12.9,4,True.
2591,0,0,0,231.2,141,39.3,267.8,22.76,8.8,1,True.
2594,1,0,0,345.3,81,58.7,203.4,17.29,11.8,1,True.
2595,0,0,0,264.9,80,45.03,281.2,23.9,8.4,1,True.
2599,0,0,0,225.1,90,38.27,279.5,23.76,8.8,0,True.
2602,1,0,0,162.4,131,27.61,167.0,14.2,11.4,2,True.
2606,0,0,0,224.2,89,38.11,314.9,26.77,16.1,1,True.
2614,1,0,0,298.4,78,50.73,270.5,22.99,12.2,0,True.
2619,1,1,35,157.5,109,26.78,189.6,16.12,11.1,3,True.
2624,0,0,0,226.9,106,38.57,182.2,15.49,11.6,0,True.
2629,0,1,32,322.4,92,54.81,283.2,24.07,6.7,1,True.
2645,1,0,0,246.4,110,41.89,182.0,15.47,12.1,2,True.
2647,0,0,0,288.0,120,48.96,255.8,21.74,13.4,0,True.
2660,0,0,0,301.5,136,51.26,257.7,21.9,13.4,4,True.
2662,1,0,0,99.6,108,16.93,308.7,26.24,13.7,2,True.
2664,1,1,26,198.8,115,33.8,166.6,14.16,14.4,1,True.
2666,1,0,0,255.9,128,43.5,140.9,11.98,12.1,1,True.
2672,1,0,0,277.9,123,47.24,155.8,13.24,9.2,0,True.
2673,0,0,0,224.9,105,38.23,250.0,21.25,6.7,3,True.
2677,0,0,0,308.6,139,52.46,150.8,12.82,7.3,4,True.
2681,0,0,0,144.8,126,24.62,200.6,17.05,13.3,0,True.
2687,1,1,29,260.8,81,44.34,163.7,13.91,17.0,1,True.
2694,0,0,0,240.7,82,40.92,269.4,22.9,10.1,0,True.
2696,0,0,0,314.1,86,53.4,222.4,18.9,12.3,3,True.
2700,0,0,0,255.1,124,43.37,230.6,19.6,8.5,3,True.
2708,0,0,0,291.2,104,49.5,234.2,19.91,8.9,1,True.
2710,0,0,0,261.8,69,44.51,245.0,20.83,14.7,0,True.
2724,0,0,0,279.1,124,47.45,180.5,15.34,9.5,2,True.
2731,0,0,0,245.2,91,41.68,217.2,18.46,13.9,0,True.
2732,1,0,0,216.2,106,36.75,363.7,30.91,16.9,5,True.
